entityid;objectid;situation;x_wgs;y_wgs
002ee6e2-4f53-4cab-9a1c-25d3416dce59;859;SQUARE ILE DE FRANCE;2.16210756;48.80303622
00c4a73b-a9cb-44ee-8b04-0b9e183aa682;754;JARDIN BONNE - AVENTURE;2.1535719;48.80764771
00d06c1d-f00d-4a1e-a86d-2a3cd713c787;254;ELEMENTAIRE EDME FREMY;2.13890829;48.7965953
016b1f26-f04e-4ec3-8ba3-82a282dd8400;330;AVENUE DE PARIS;2.142406;48.79911271
018691dd-95d4-4f58-abd2-25930c1bbc04;214;MATERNELLE VAUBAN;2.15235094;48.7998293
018a0cb9-ba1b-454e-81c1-c9c7bd0d807c;54;JARDIN DE L'ECOLE DES POSTES;2.15871421;48.80214278
0190222e-43bd-4460-9595-bfb04e95c608;652;AVENUE VILLENEUVE L'ETANG;2.14323728;48.81470671
0199ce33-71ed-482b-abb8-7c2f78b52913;760;JARDIN BONNE - AVENTURE;2.15373506;48.80735
02083ff5-4551-4467-a57e-c52d9cff2334;298;AVENUE DE PARIS;2.15330407;48.79857155
0238335e-3308-4654-9c7f-5eb19ae6eff4;940;ELEMENTAIRE VAUBAN;2.15229012;48.79921505
024b9708-90e2-49a8-bd0f-d668a7e3dd30;152;MATERNELLE LA FONTAINE;2.12349107;48.79627877
0267d2fd-8bc8-499b-a7b5-979660d149d7;392;AVENUE DE PARIS;2.12872741;48.80233563
02981600-29d4-41ff-b740-34af2461f3c9;390;AVENUE DE PARIS;2.12996834;48.80185775
02b81877-a77a-41ac-9b26-4769f093227a;203;MATERNELLE LES TROIS POMMIERS;2.13592086;48.80312784
02f8c1b6-f0e8-47af-bebf-4b7635561e63;65;JARDIN DES MUSICIENS ITALIENS;2.14596944;48.80148377
03438596-659e-4fc7-aebb-3520d7017aab;596;PARC FORESTIER DE LA PORTE VERTE;2.15126806;48.81587687
03bdc609-a050-4e69-b48c-c9aaa24ca626;867;SQUARE ILE DE FRANCE;2.16121992;48.80289547
03c1e1f2-38c7-480a-b5b4-98e2ba20c3e6;380;AVENUE DE PARIS;2.13875845;48.7996489
03caabc1-7fa9-40ff-a92a-e36489e3615e;886;CRECHE NOTRE DAME;2.13245391;48.81095364
03eb2f35-6cdb-4006-bd30-85d67b8215d7;662;BOULEVARD DE LA REINE;2.12153967;48.80974361
03fa51c1-6e89-4daf-8c8d-34f5891de116;335;AVENUE DE PARIS;2.13803823;48.80042605
0427ab0f-11d7-49b9-9506-ef1d6de90c2e;589;PARC FORESTIER DE LA PORTE VERTE;2.15152571;48.81616509
0476bd5f-1a51-4e0d-917b-9cf1aabaaee3;830;SQUARE BLAISE PASCAL;2.1529369;48.8033951
04f50694-4a18-40e0-8071-c92f1e7df3be;56;JARDIN DE L'ECOLE DES POSTES;2.15877795;48.80206984
050c1bf1-8506-43dd-b971-396bb0f54dfb;960;SQUARE DU STADE DES CHANTIERS BIS;2.14225331;48.79473285
052c5512-c788-41c7-ab77-8f2a64c7f6e5;167;MATERNELLE LES DAUPHINS;2.13209563;48.81333083
05375668-4ef0-4029-ac67-d515b4340808;312;AVENUE DE PARIS;2.14899849;48.79859568
055ff6f9-b3d3-4c41-b0c0-a2b31f689149;645;AVENUE VILLENEUVE L'ETANG;2.14844103;48.8190178
06498c7e-4fed-4f8f-b08b-47d605324090;848;SQUARE HOCHE;2.12799432;48.80583734
07aa9f19-8f9a-4e7c-8761-44d2641d4c62;1038;MATERNELLE LA MARTINIERE;2.11381711;48.78083504
07ca9aaf-fc08-4ff1-9b69-d131c662c373;377;AVENUE DE PARIS;2.14340041;48.79840663
07f7c12c-f4a7-417c-8c0f-97997afc5892;385;AVENUE DE PARIS;2.13451351;48.80064633
08075972-3f55-459c-ad32-e5b38d5ce928;536;BOULEVARD DE LA REINE;2.13576319;48.80866735
083df6ba-ab4f-4f67-b3ca-fc1730b772d7;269;ELEMENTAIRE LES CONDAMINES;2.14620827;48.80191356
08676518-e095-4991-bff2-78e8bcd44fcf;531;BOULEVARD DE LA REINE;2.13936968;48.80838063
0942020f-1c4f-4c91-b8c3-f016df5bfad2;177;ELEMENTAIRE COLONEL DE BANGE;2.13227696;48.81406073
09cb6bcd-2cd7-4e8c-a346-82b63e56a5c0;456;AVENUE DE SAINT - CLOUD;2.13663442;48.80510844
09d6bbb5-f8d2-44be-a661-2a3d8ddeb0e9;781;JARDIN BORGNIS DESBORDES;2.12211708;48.79515013
0a3aef74-044f-4a5e-a974-49e2dce51efe;571;PARC SEMALLE;2.1217851;48.81339369
